,Tweet
26,Mahasiswa dan Ormas Kawal Putusan MK Tentang Pilkada Dengan Aksi Damai #mk #pilkada
27,Warga Jakarta Kawal Putusan MK Tentang Pilkada Dengan Deklarasi Pemilu Damai #mk #pilkada
28,Warga Jakarta Kawal Putusan MK Tentang Pilkada Dengan Deklarasi Pemilu Damai #mk #pilkada
29,"Senengane jalan pintas , ngakali, koyo ngakali putusan MK dll, kabeh soko ndas ndasane sing kucluk mestine tidak ada visi mentri to onone visi presiden"
30,"Pemerintah dukung implementasi putusan MK tentang Pilkada. 
Hal ni dilakukan tuk jaga persatuan serta integritas demokrasi Pilkada Serentak 2024.

Fufufafa CD Abang2
Guru Gembul Puput Novel PSSI Fanny"
31,"""Menurut UUD 45 dan Pancasila, tugas hukum itu mengawal demokrasi.

Putusan MK 90 itu cacat menurut UU Kehakiman pasal 17 ayat 5.

Bagaimana putusan hukum yang cacat bisa mengawal demokrasi? Putusan MK 90 itu sumber segala keruwetan"" (Maruarar Siahaan) 

#BatalkanGibranDilantik"
32,"boleh infokan perusahaannya apa, sama budged utk posisi tersebut kak... "
33,Yang penting gabung KIM dan menolak putusan MK Demi Kaesang
34,jangan mahal2 yaa
35,"Jilatanmu sungguh luar biadab njing..

1. Samsul maju atas rekom PDIP, gimana dpt rekom? Ayahnya yg kerjain, baru Samsul wara wiri

2. Mundurnya pak Purnomo atas desakan siapa? Mulyono lah...

3. Putusan MK kerjaan Samsul? Cuk, mana ada ceritanya?

Dasar Babi Botak..."
36,Tapi kemarin akunku gini karna sering twt yng sama. Pas lagi rame kawal putusan mk sih. Jadi mungkin dikira bot
37,excel lah... apalagi...
38,"Makanya kenapa sebelum ada putusan MK, PKS melakukan evaluasi dukungan ke Anies, meskipun Spanduk dan baleho sudah tersebar d JKT. Krn PKS yakin PDIP cuman Gimmick mau ngusung Anies. 

Emang anda yakin jika PKS tetap bersama Anies, putusan MK akan diumumkan? Saya sih tidak"
39,Putusan MK no 90 itu cacat ..yg cacat ga boleh dilaksanakan 
40,"Eh, akun menfess 
@literarybase
 terhitung sejak aksi demo Kawal Putusan MK kemarin kok sudah ga aktif lagi ya "
41,"Aduh kakk stay safe yaa kakk, kalo bisa tidur sama ortu aja, biar lbh aman"
42,"Ada benarnya. Sejak pengusikan Putusan MK 60 & 70 serta kunjungan Sri Paus, konten sabung warga terkait agama makin banyak. Mulai dari Medistra, UMY, beda agama kagum sama Sri Paus. Dan ga ada gerakan bersama desak DPR/Kemenag.
Simpulan: mulai lg gerakan pemecahan berbasis agama."
43,Tolol ke lu jgn sok ngomongin putusan MK cacat. Mending lu ngumpul donasi biar Anis bs buat partai sendiri
44,"Setelah “kawal putusan MK” terbitlah “kawal putusan MUA” nih

#KawalPutusanMUA 
#KawalPutusanMUA 
#KawalPutusanMUA"
45,"apaan nder, jangan generasi gini dong, sebenernya ada BANYAK banget muslim yang TOLERANSI di negara ini. lagian komun itu suka share tentang dzikir dan doa² bagus, kadang share tips gimana cara beribadah yang baik. aku jarang liat postingan annoying malahan."
46,"Sebelum putusan MK diperkirakan ada 150 kotak kosong, skrg sisa 40 lumayan lah"
47,"Kalo gak ada bapaknya,kalo gak ada putusan MK emng bakal jadi tuh barang.nepotismenya tingkat tinggi"
48,sisa 2 orderan yg belum kelar yaw: 2 esai hukum Haki dan resume putusan MK
49,"wkwkwkw

mana banyak yang percaya dia bukan buzzer lagi. padahal kenceng bgt tu pengalihan isu selingkuhnya pas dpr mau revisi putusan MK"
50,"gue bilang ‘in case’ karena ga ada yang tau. Putusan MK, Putusan MA, dan Putusan KPU aja diubah-ubah. Walaupun bakalan blunder lebih jauh, kalau ini teruskan dan dimasifkan"
51,Join
52,"PPP ...kami msh berpikir waras jk hrs golput, apakah kalian lp dgn KEWARASAN kalian mendukung revisi putusan MK di DPR?Statement kalian akan membuat PPP semakin td disukai rakyat"
53,"apaan nder, jangan generasi gini dong, sebenernya ada BANYAK banget muslim yang TOLERANSI di negara ini. lagian komun itu suka share tentang dzikir dan doa² bagus, kadang share tips gimana cara beribadah yang baik. aku jarang liat postingan annoying malahan."
54,"Sebelum putusan MK diperkirakan ada 150 kotak kosong, skrg sisa 40 lumayan lah"
55,"Kalo gak ada bapaknya,kalo gak ada putusan MK emng bakal jadi tuh barang.nepotismenya tingkat tinggi"
56,sisa 2 orderan yg belum kelar yaw: 2 esai hukum Haki dan resume putusan MK
57,"wkwkwkw

mana banyak yang percaya dia bukan buzzer lagi. padahal kenceng bgt tu pengalihan isu selingkuhnya pas dpr mau revisi putusan MK"
58,"gue bilang ‘in case’ karena ga ada yang tau. Putusan MK, Putusan MA, dan Putusan KPU aja diubah-ubah. Walaupun bakalan blunder lebih jauh, kalau ini teruskan dan dimasifkan"
59,Join
60,"PPP ...kami msh berpikir waras jk hrs golput, apakah kalian lp dgn KEWARASAN kalian mendukung revisi putusan MK di DPR?Statement kalian akan membuat PPP semakin td disukai rakyat"
61,"jika A, maka B
. 
. 
. 
. 
. 
akhirnya gua paham persamaan matematika yg ini..."
62,Nunggu putusan MK ya
63,Lha orang ini kemarin yg mau mengesahkan RUU Pilkada (membangkang putusan MK)
64,Sebenarnya kotak kosong bukan representatif dari demokrasi rakyat tapi sesuai dgn putusan MK yg menurunkan ambang batas pencalonan oleh parpol.
65,WTB buku ekonomi mikro dan makro karya mankiw. pls plssss tolonglah aku iniiii 
66,"gak tau diri nih 
@PKSejahtera
 , udah gak mau nyalonin Anies padahal udah ada putusan MK, bikin hoax soal tenggat waktu 40 hari, ikut revisi UU pilkada, dan gabung KIM, padahal kalaupun gak nyalonin Anies, masih bisa nyalonin sendiri di luar KIM."
67,Presiden dan KPU 100 persen ikut putusan MK!!
68,Presiden Jokowi akan mengikuti semua putusan MK.
69,"putusan MK 90. Cacat. 
Maka  Non executable."
70,winlok apaan?
71,"ini udah gua terapkan beberapa kali... diminta atasan untuk ketemu calon klien, dan 'ajak' mereka ngopi.. tp ga pernah gua laksanain... akhirnya bos tau, gua kena sp... 

""ga menghargai waktu si calon klien tadi""
ya gua amuk balik, masih jadi calon klien, belum fix PO dari mereka"
72,tritnya mana...
73,"teman ku kemaren, lulusan hukum dapat gawean di singapura jadi penasehat hukum perusahaan"
74,Putusan MK terkait RUU Pilkada sah dan disetujui oleh Pemerintah.
75,Presiden Jokowi dan KPU 100 persen dukung putusan MK
76,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK

#MenjagaPutusanMK"
77,"DPR Tolak Seluruh Calon Hakim Agung, KY Minta Pertimbangkan hingga Singgung Putusan MK"
78,Jelas jelas semua dinasti terselamatkan oleh putusan MK yang menolak uji materi terkait politik dinasti
79,"Makanya dipakai terminologi inkonstitusional ""bersyarat"".
Kritik atas pertemuan jkw dgn ricard adkerson (Freeport McMoran) terkait keputusan perpanjangan izin termasuk dlm kategori tersebut. Perpanjangan izin dianggap bertentangan dengan putusan MK 64/PUU-XVIII/2020 Pasal 169A."
80,rakyat mau bergerak itu karena apa bang? kl minggu2 lalu kan krn DPR mau merubah putusan MK
81,"Dosen2 univ di jogja banyak jejak digitalnya buat ngomentarin kim+, gagalnya anies maju, kotak kosong di dki sebelum mk tp sedikit jejaknya mbahas bupati petahana sleman yg hampir gagal maju sblm putusan mk, pecah kongsinya petahana bantul dan isu politik lokal lain."
82,Ayooo demo kawal putusan MK....
83,"Rakyat itu yg Real,nyata ....itu yg demo Kawal Putusan MK kemaren cth rakyat..nyata ada wujudnya"
84,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK
#MenjagaPutusanMK"
85,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK
#MenjagaPutusanMK"
86, kok km yg marah-marah? Km keluarga yg diuntungkan putusan MK atau buzzer nya  ??
87,"Temen gue ada udah miskin, ngatain temen gue yang turun demo dan ikut kawal putusan MK kemaren pengangguran. Bego. Emang gak semua orang kuliah punya otak sih."
88,"Putusan MK 90 tentang syarat capres-cawapres MK sudah di garis kuning krn hanya menambah frasa. 
Putusan MK 60 tentang syarat pilkada MK sudah di LUAR GARIS KEWENANGANnya.
Jadi siapa yg MENGUTAK-ATIK KONSTITUSI? 
Jawabnya HAKIM-HAKIM MAHKAMAH KONSTITUSI bukan PRESIDEN. 
PAHAM!"
89,Putusan MK Telat Penyebab Pilkada Kotak Kosong Masih Marak
90,"Jadi bisa Kita simpulkan demi mendapatkan dan menduduki Kursi Jabatan maka PERKARA ETIK bukanlah hal Penting. Kekuasaanlah yg Utama, tentang Etik taro saja di Bak Sampah. Segitu rendahnya Sikap PoliTIKUS Negeri ini.

Selain Putusan MK ini yg No_Etik, ini tentang #Nepotime dan..."
91,"Putusan MK yang dinilai melanggar #Etik dibuktikan dengan Putusan MKMK yang memutuskan Hakim Ketua yg tak lain adalah Paman Gibran melanggar #Etik dan diPutuskan dipecat jadi Hakim Ketua.
Namun Pelanggaran #Etik ini diabaikan oleh semua Penikmat Putusan MK No. 90 th 2023 itu."
92,"Putusan MK No. 90 th 2023 ini adalah Aksi Nyata Praktek #Kolusi dan #Nepotisme di Republik ini. Tapi dengan kepolosan (Dungu aja sih) Masyarakat kebanyakan bahwa Praktek itu dinilai sah-sah aja.  IQ Jongkok.
Penikmat Putusan itu yg paling berkepentingan adalah Capresnya."
93,"DPR RI ikuti putusan MK so gak perlu risau apalagi heboh lg soal putusan MK n jgn mau lg di adu domba Ama ""oknum"" yg manfaatin isu itu #putusanmk #tolakruupilkada2024 #kawalkeputusanmk #indonesia #staycalm"
94,Berantakan gara-gara putusan MK 
95,Gara-gara putusan MK 
96,OH berarti diakui yah kalo DPR itu mengubah Putusan MK supaya Gibran bisa jadi cagub?
97,Lu selama ini tinggal di goa atau gimana? Itu putusan MK pas si gibran calonin jadi wapes aja udh jadi salah satu bukti 
98,apakah gua akan instal game laknat ini lagi...!!
99,Ini si dpr yg mau revisi putusan mk pilkada itu ya..
100,"Seperti yang dulu gua bilang, kondisi Jokowi menang di 2024 tapi tanpa partai itu bukan itungan yang ideal.

Karena dia harus akrobat manuver lebih banyak lagi. Wajar kalau akan ada momen Jokowi luput, kayak Putusan MK kemarin itulah"
101,Yg ngomong mancing mahasiswa marah di Parlemen melawan putusan. MK terkait pilkada.
102,"Kalo gak ada usulan para elit politik
Gak ada sidang MK 
Gak ada putusan mk
Gak ada demo
Gak ada polisi hadang demo
Gak ada kerusuhan 
Dan sudah pasti gak ada korban

Dari urutan diatas kita harusnya paham awal dan akhir .mana sumber mana dampak"
103,"Kek nya memang harus ad revisi uu nya dah, DPR dari pada menganulir putusan MK, mending revisi uu sistem peradilan anak"
104,"Kenapa baru di suarakan sekarang?..udah terjadi baru bersuara,bukannya dari sebelum ada putusan MK"
105,"ya dirugikan laah... seharusnya bisa jaadi baancakan penjabat itu,..."
106,"DPR Tolak Seluruh Calon Hakim Agung, KY Minta Pertimbangkan hingga Singgung Putusan MK http://dlvr.it/TCykLS"
107,"Pilkada ga cuma Jakarta. Kandidat populer kayak Airin, Bu Risma dan buanyak calon lain akhirnya bisa maju berkat putusan MK kemaren."
108,"Masalahnya sebenernya kayanya dia jalan2 pas DPR lagi rusuh2nya, dia yg sedang dipermasalahkan karena DPR mo ubah putusan MK malah dia senang2, emang rakyat gak panas? #mikir"
109,Bukan nya demokrat kemaren ikut mau merubah UU Pilkada? dengan menganulir Putusan MK dan menerima putusan MA. setelah ada demo baru kalangkabut berkamuplase. pura2 demokratis. faham deh faham. semuanya karena tulang. malu lah sikit  jg harga diri. salam HAMBALANG.
110,"Bakal ramai ini, nanti !!

Kita tunggu saja seperti apa jalannya nanti, bila betul-betul mereka yang coba dilantik. 

Masih banyak hal terjadi utk menuju 20 Oktober 2024 ini.

Putusan MK No. 90 itu *CACAT HUKUM* 'Non executable', tidak bisa dilaksanakan, tidak bisa dilantik."
111,Mknya semakin bnyak pilihan makin pusing oligarki makanya pilkada macem sebelum putusan mk oligarki demen banget hahaha
112,"Idiologi PKS adalah keadilan n kesejahteraan...posisi PKS pasca putusan MK sudah hilang marwah idiologinya, lebih memntingkan pragmatisme sesaat sesaat yaitu kekuasaan. Kekuasaan penting ttp harus didpt dgn keadilan bukan dgn memanfaatkan kekuasaan utk kedzoliman..."
113,"Ini sih jelas, penumpangnya siapa saja, dan tujuannya apa.

Lah si pangeran bungsu, langsung pergi liburan sewaktu demo putusan MK, dan sumber dananya tidak jelas dari ...??"
114,"https://bbc.com/indonesia/articles/cmj2n2kxkgdo#:~:text=Pabrik%20tekstil%20yang%20melakukan%20PHK,Djaja%2C%20Semarang%2C%20sekitar%202.000%20karyawan…

Ya tentu oposisi, gak berhasil untuk mensejahterakan kelas menengah tapi anaknya maju ikut pemilu apalagi terkesan dipaksakan melalui putusan MK no 90 yg kontroversial"
115,"lebih sering pakai yg kenak silang merah... apa karena itu ya, ga dilirik sama sekali sama HR cv ku ya?? otewe kulik2 lagi lah..."
116,"Alasan PKS Membeberkan Partainya Tak Kembali Usung Anies Usai Putusan MK https://keuangannews.id/alasan-pks-membeberkan-partainya-tak-kembali-usung-anies-usai-putusan-mk/… lewat 
@Keuangan
 News"
117,Putusan MK sama Buzzer 02
118,"Bwahahaaaaa
Macam Putusan MK
Bukan soal terbitnya

Namun Efek nya
kwkwkww"
119," 5 soal PKN
 resume putusan MK nomor 20/PUU-XII/2014"
120,"Yang lebih aneh keputusan kpu 1229 tahun 2024 ttg  pendaftaran cakada, seolah mengeliminasi putusan mk krn harus meminta persetujuan dari politik dan koalisi. 
Hal ini di alami Masinton waktu mendaftar calon bupati yg tdk ditrima kpu krn seblum nya pdip sdh beri rekom pd yg lain"
121,Demokratis atau ndak tergantung di posisi mana...klo posisi kalah ya teriaknya ini tidak demokratis...mirip putusan MK kemarenlah...sekarang kan sudah ga terdengar lg mahkamah kluarga..krn yg sering omong gitu sudah terpenuhi harapannya
122,"banyak tanya2
""ini apa? ""
""ko bisa begini? ""
. 
. 
. 
. 
kembangin aja sendiri, pakai ragi instan biar cepat ngembang.."
123,"jurnal dulu... baru setelah itu ""penyesuaian"""
124,joki rangkuman tentang konsekuensi yuridis putusan mk nomor 20 tahun 2014 cari yg spesialis hukum #zonaba #zonauang
125,"""Meneruskan"" Nepotisme, mengacak-acak konstitusi dg munculnya putusan MK no 90/2023 yg digawangi adik iparnya dg munculnya MKMK yg mevonis pelanggaran etik berat dan non palukan di MK dan dan dicopot dari ketua MK, dan itu akan diedukasi oleh murid dan anaknya.
Cawe-cawe n bansos"
126,"Setuju wktnya jgn terlalu lama,misal 3 -4 bln termasuk masa kampanye pesertanya dikocok ulang tdk hrs paslon spt saat ini bisa saja calon independen bertambah atau dg putusan MK No.60 bisa saja partai² menyiapkan jago² barunya
Ada peluang 
@aniesbaswedan
 imut kontestasi diDKI"
127,"Loncat kau bilang? Jangan mengaburkan masalah. Anies - Shohibul itu cuman 18 kursi, gak sampe 20%. Putusan MK setelah deklarasi RK - Soeswono. Gimana caranya PKS keluar dari KIM kalo kadernya jadi wakil?"
128,Putusan MK terkait RUU Pilkada sah dan disetujui oleh Pemerintah.
129,Presiden Jokowi pastikan pemerintah ikuti putusan MK soal pilkada
130,Mauu
131,Kawal putusan MK jilid 2 ???
132,Nah itu saya rasa bisa diambil jalan terobosan daripada menjadi polemik yg berkepanjangan akibat putusan MK yg mana dlm prosesnya ketua MK nya sendiri melanggar etik berat. Kira² begitu pendapat saya pribadi Lae 
133,"Putusan MK bersifat final dan mengikat.
#KawalPutusanMk"
134,"sudah bikin perjanjian dg KIM lalu muncullah putusan MK 

mas bro baca dong beritanya "
135,"Setelah tenggelam krn ada isu baru putusan MK, ternyata masalah mamam siang gratis ini blm selesai juga ya."
136,Putusan MK apa panja Baleg DPR sik?
137,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK

#MenjagaPutusanMK"
138,Putusan MK apa panja Baleg DPR sik?
139,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK

#MenjagaPutusanMK"
140,"Klu MPR mau, bisa. MPR bisa mendalilkan putusan MKMK sbg alasan menolak wapres terpilih. MPR tdk punya hak berhentikan pres/wapres setelah sah dilantik, sblm ada putusan MK. Tapi utk yg “terpilih”, MPR bisa saja menolak dg voting(suara terbanyak)."
141,"Kan demo kemaren bertujuan agar dpr mematuhi hasil putusan MK terkait aturan Pilkada, bukannya udah clear ya bosku?? Atau jangan² anda demonya bertujuan untuk memajukan abah pilkada?? "
142,"menarik nih, ilmu akhir pekan... 
*brb cari buku kieso yg udah ga tau dimana letaknya... "
143,dia yg twtnya ikut turun aksi putusan mk itu gk sie
144,"Join mulyono seminggu lgs satu barisan di DPR nolak putusan MK. Masih mending kmaren jadi oposisi. Setidaknya demi kehormatan. apakah nanti PKS berani berseberangan dgn koalisinya sendiri dlm soal kebijakan?

Mending skeptis dulu ketimbang nelen mentah2 janji politikus"
145,Putusan MK iya juga nggak?
146,"Rajin amat ya ngerwit apa yg dilakukan di DPR ,tapi soal UU pilkada kemarin PKS juga ikutan ingin menganulir putusan MK ?
Lupa ya?
Kebaikan 1000 x dilupakan dan lebih diingat 1 keburukan terakhir
Maka yg paling sulit itu Istiqomah"
147,Putusan MK gimana kabar?
148,"jan bawa2 putusan MK un, ga seru ah"
149,"Dan partai saya mendukung dinasti nepotisme titik gak pake koma

Bahkan partai saya juga mendukung bileg yg akan menganulir putusan MK 60"
150,Warga Jakarta menolak cagub boneka
151,Mari taat dengan putusan MK yang sudah final dan mengikat.
152,"Mana mungkin lagi, pks sdh bersama RK sebelum putusan MK keluar"
153,Presiden RI Jokowi tegaskan pemerintah akan patuhi putusan MK RI terkait UU Pilkada
154,"Jelang Pilkada Serentak 2024, semakin banyak permohonan pengujian UU Pilkada ke MK. Salah satunya yang diajukan Partai Buruh dan Partai Gelora. 

Putusan MK kali ini membuka peluang besar! Kini, dengan perubahan syarat persentase dan partai politik non-kursi DPRD juga bisa"
155,Presiden RI Jokowi tegaskan pemerintah akan patuhi putusan MK RI terkait UU Pilkada
156,"Jelang Pilkada Serentak 2024, semakin banyak permohonan pengujian UU Pilkada ke MK. Salah satunya yang diajukan Partai Buruh dan Partai Gelora. 

Putusan MK kali ini membuka peluang besar! Kini, dengan perubahan syarat persentase dan partai politik non-kursi DPRD juga bisa"
157,"Yg bagus malah mereka recoki.

Sama seperti kemarin saat mereka mau menganulir putusan MK. 

Artinya DPR khilafnya sesuai arahan. Mungkin rakyat & mahasiswa perlu silaturahmi lagi dgn mereka"
158,Prinsip Erga Omnes yang berlalu terhadap putusan MK ternyata dampaknya luar biasa. Tapi seringkali publik hanya berfokus pada sidang-sidang DPR.
159,Jokowi Tegaskan akan patuhi putusan MK RI terkait UU Pilkada!!
160,"Riil, Pasal 251 UU Pemda udah dibatalin sama Putusan MK 137 tahun 2015. 

Tapi bang, kalau menurut mu, Pasal 251 yg baru pasca UU CK gimana? Soale Pemda mesti koordinasi dengan Pusat ketika menyusun Perda. Kira² ada potensi mengurangi asas otonomi gak? Atau pure tuk harmon jh?"
161,Pemerintah ikuti putusan MK
162,"Wkwkwk ya siapapun bakal males investasi ke negara korup.
Drpd nyari investor, harusnya ngaca gimana wajah pemerintahan hari ini. Kemarin demo kawal putusan MK aja sampe diliput media luar, ya LN tau lah bobroknya disini gimana."
163,"Inget ya, kemaren putusan MK bakal jalan mulus kalo DPR, istana, KPU ga digedorin saban hari sama massa

Be the change "
164,"cok dia cuma minta tolong nebeng. bangke lah ngeri banget. keknya mulai sekarang stop minta tolong deh ke siapapun ituu, takut banget jadi sambatan di komun  https://x.com/liluliludindul/liluliludindul/status/1832046535628181987…"
165,"jauhin aku dari orang modelan dinda goblok ini Ya Allah.. baca aja udah bikin kesel. heh mbak, km ngetik fuck girl support girl tuh TOLOL tau ga. km ga pernah ada di posisi butuh banget tabengan karena gaada motor??? TOLOL DAN EGOIS km tuhh!!!!!! https://x.com/liluliludindul/liluliludindul/status/1832046174754459752…"
166,"Plin Plan dan kelompok pendukung Pembangkang Putusan MK

Tenggelamkan"
167,Dadang Sutarmo Tanggapi Putusan MK: Siap Kawal hingga Pilkada Digelar https://gesuri.id/pemilu/dadang-sutarmo-tanggapi-putusan-mk-siap-kawal-hingga-pilkada-digelar-b2kBMZPRh?utm_source=dlvr.it&utm_medium=twitter… #pdiperjuangan
168,anj putusan mk 
169,"betul sekali, sejak ada putusan MK hal itu memungkinkan. mungkin mereka lapar jadinya ya begini deh"
170,"ngerawat landak dipenjara, ngelawan putusan mk masih melalang buana~~~"
171,Kenapa mesti putusan MK sih un??? 
172,kalo putusan MK gagal gimana un ?
173,"Bener juga, Gibran dan Kaesang juga pasti merasakan bahwa pada masa pemerintahan bapaknya ini tidaklah mudah. Demo dimana-mana, cibiran nitizen twitter, carut marut ijin tambang, putusan MK, DPR yg ga kompeten, belum lagi nilai tukar rupiah yg lemah, serta penghapusan pertalite."
174,Sudah waktu itu dg me- kawal putusan MK
175,PKS jngn minta2 pemilih basis pemilih anis lah. Kty krng 4 kursi tp pas ada putusan MK malah alesany dah teken kontrak dngn RK.. timeliney masuk kl memang ada niat usung anis ko.  Dah kebelet msk koalisi KIM + jatah mentri.
176,"Kalo nikah beda agama sama org katolik, anaknya mesti katolik...."
177,"@kaesangp
 kapan mau klarifikasi, pasti nunggu putusan MK dulu yah,"" kalo anak presiden pake fasilitas mewah milik pengusaha utk urusan pribadi tidak masuk gratifikasi"""
178,"gmn ga circle jir
satu bahas putusan mk, satu bahas anime(gw malah bahas mie ayam daerah nologaten enak banget bjirr)"
179,Dua hal yg bikin kami yakin PKS sejak awal sdh sepakat untuk menggadaikan  pencalonan Anies. 1. Elitnya sibuk berbohong soal deadline pencalonan. 2. Fraksinya setuju keputusan Baleg negabaikan putusan MK
180,Sa percaya zainuddin bin ngacciro si raja hutang gunakan APH utk ancam elite PKB PKS dan Partai Om Brutus hingga tinggalkan anies secara tiba2 pdhl sdh ada rekomendasi dan putusan MK yg permudah.
181,Cacat yg membuka aib itu terlihat ketika PKS setuju keputusan Baleg yg menganulir putusan MK.
182,Hah emg ada ttg putusan mk jg?
183,"Putusan MK nomor 60 kemarin sejatinya merupakan batu pijakan yang bagus untuk Pilkada yg lebih baik, namun angka 7,5% tetap masih berat bagi parpol di luar parlemen, ditambah keberadaan koalisi gemuk membuat kompetisi tidak berjalan seimbang karena banyak parpol yg gentar duluan."
184,"Udah diubah jadi Pergub Jabar No. 7 Tahun 2023.
Tapi hati² yang mau mutasi/pindah ke sini, Kemendagri BERHAK mengubah Perda Tk. Provinsi setelah adanya putusan MK.
.
Harap² cemas PNS Pemprov Jabar dengan Makan Siang Gratisnya Prabowo. Wkwkwkwk"
185,"Masih lah cinta bangetttt.
Tapi itu dulu sblm PKS mendukung Bobby, RK, Marcel dan ikut merevisi putusan MK tentang Pilkada juga ada d gerbong rezim dynasti/oligarki. Dimana dakwahnya klo ini partai dakwah yg dibesarkan oleh kami pemilihnya."
186,"Membatalkan Deklarasi AMAN bukannya bentuk ingkar janji & pengkhianatan? sudah dikasih jalan dgn adanya putusan MK malah tergoda dengan jatah menteri... akh sudahlah, sepertinya skrng PKS sukar membedakan mana haq mana bathil... "
187,"Urang sebel pisan demo terus terusan tapi belum dapet maksudnya. Ini bukan tentang pesawat jet, ini bukan hanya tentang menganulir putusan mk, ini bukan hanya putusan mk. Inituh tentang jangan seenaknya sendiri."
188,ke amerika serikat
189,KY Surati DPR Tegaskan Seluruh Calon Hakim Agung Penuhi Syarat UU dan Putusan MK https://metro.tempo.co/read/1913268/ky-surati-dpr-tegaskan-seluruh-calon-hakim-agung-penuhi-syarat-uu-dan-putusan-mk?utm_source=Twitter&utm_medium=dlvr.it… #TempoMetro
190,"Tau kan kenapa byk yg marah ama pekaes
Padahal masih ada waktu mundur dr KIM pasca putusan MK
Kalau sampai PKS dapet jatah menteri dr prabowo padahal saat pilpres dan pileg berseberangan dr KIM, inget2 ya rakyat miskin jakarta, untuk jabatan menteri itulah aspirasi kalian ditukar"
191,"Sorry, tapi pas menunggu putusan MK kemarin, tanpa disuruh ada belasan kampung di Jkt yg menggelar doa bersama agar pak Anies bisa nyalon lagi. Hitung aja tuh satu kampung isi berapa orang."
192,"Setelah Putusan MK No 60 dan 70, apa dampaknya buat Pilkada? Feri Amsari bersama pakar lainnya mengulik tuntas isu calon tunggal! Jangan lewatkan insight penting ini. #HukumTataNegara"
