,id,Tweet
31,32,Yang penting gabung KIM dan menolak putusan MK Demi Kaesang
32,33,jangan mahal2 yaa
33,34,"Jilatanmu sungguh luar biadab njing..

1. Samsul maju atas rekom PDIP, gimana dpt rekom? Ayahnya yg kerjain, baru Samsul wara wiri

2. Mundurnya pak Purnomo atas desakan siapa? Mulyono lah...

3. Putusan MK kerjaan Samsul? Cuk, mana ada ceritanya?

Dasar Babi Botak..."
34,35,Tapi kemarin akunku gini karna sering twt yng sama. Pas lagi rame kawal putusan mk sih. Jadi mungkin dikira bot
35,36,excel lah... apalagi...
36,37,"Makanya kenapa sebelum ada putusan MK, PKS melakukan evaluasi dukungan ke Anies, meskipun Spanduk dan baleho sudah tersebar d JKT. Krn PKS yakin PDIP cuman Gimmick mau ngusung Anies. 

Emang anda yakin jika PKS tetap bersama Anies, putusan MK akan diumumkan? Saya sih tidak"
37,38,Putusan MK no 90 itu cacat ..yg cacat ga boleh dilaksanakan 
38,39,"Eh, akun menfess 
@literarybase
 terhitung sejak aksi demo Kawal Putusan MK kemarin kok sudah ga aktif lagi ya "
39,40,"Aduh kakk stay safe yaa kakk, kalo bisa tidur sama ortu aja, biar lbh aman"
40,41,"Ada benarnya. Sejak pengusikan Putusan MK 60 & 70 serta kunjungan Sri Paus, konten sabung warga terkait agama makin banyak. Mulai dari Medistra, UMY, beda agama kagum sama Sri Paus. Dan ga ada gerakan bersama desak DPR/Kemenag.
Simpulan: mulai lg gerakan pemecahan berbasis agama."
41,42,Tolol ke lu jgn sok ngomongin putusan MK cacat. Mending lu ngumpul donasi biar Anis bs buat partai sendiri
42,43,"Setelah “kawal putusan MK” terbitlah “kawal putusan MUA” nih

#KawalPutusanMUA 
#KawalPutusanMUA 
#KawalPutusanMUA"
43,44,"apaan nder, jangan generasi gini dong, sebenernya ada BANYAK banget muslim yang TOLERANSI di negara ini. lagian komun itu suka share tentang dzikir dan doa² bagus, kadang share tips gimana cara beribadah yang baik. aku jarang liat postingan annoying malahan."
44,45,"Sebelum putusan MK diperkirakan ada 150 kotak kosong, skrg sisa 40 lumayan lah"
45,46,"Kalo gak ada bapaknya,kalo gak ada putusan MK emng bakal jadi tuh barang.nepotismenya tingkat tinggi"
46,47,sisa 2 orderan yg belum kelar yaw: 2 esai hukum Haki dan resume putusan MK
47,48,"wkwkwkw

mana banyak yang percaya dia bukan buzzer lagi. padahal kenceng bgt tu pengalihan isu selingkuhnya pas dpr mau revisi putusan MK"
48,49,"gue bilang ‘in case’ karena ga ada yang tau. Putusan MK, Putusan MA, dan Putusan KPU aja diubah-ubah. Walaupun bakalan blunder lebih jauh, kalau ini teruskan dan dimasifkan"
49,50,Join
50,51,"PPP ...kami msh berpikir waras jk hrs golput, apakah kalian lp dgn KEWARASAN kalian mendukung revisi putusan MK di DPR?Statement kalian akan membuat PPP semakin td disukai rakyat"
51,52,"apaan nder, jangan generasi gini dong, sebenernya ada BANYAK banget muslim yang TOLERANSI di negara ini. lagian komun itu suka share tentang dzikir dan doa² bagus, kadang share tips gimana cara beribadah yang baik. aku jarang liat postingan annoying malahan."
52,53,"Sebelum putusan MK diperkirakan ada 150 kotak kosong, skrg sisa 40 lumayan lah"
53,54,"Kalo gak ada bapaknya,kalo gak ada putusan MK emng bakal jadi tuh barang.nepotismenya tingkat tinggi"
54,55,sisa 2 orderan yg belum kelar yaw: 2 esai hukum Haki dan resume putusan MK
55,56,"wkwkwkw

mana banyak yang percaya dia bukan buzzer lagi. padahal kenceng bgt tu pengalihan isu selingkuhnya pas dpr mau revisi putusan MK"
56,57,"gue bilang ‘in case’ karena ga ada yang tau. Putusan MK, Putusan MA, dan Putusan KPU aja diubah-ubah. Walaupun bakalan blunder lebih jauh, kalau ini teruskan dan dimasifkan"
57,58,Join
58,59,"PPP ...kami msh berpikir waras jk hrs golput, apakah kalian lp dgn KEWARASAN kalian mendukung revisi putusan MK di DPR?Statement kalian akan membuat PPP semakin td disukai rakyat"
59,60,"jika A, maka B
. 
. 
. 
. 
. 
akhirnya gua paham persamaan matematika yg ini..."
60,61,Nunggu putusan MK ya
61,62,Lha orang ini kemarin yg mau mengesahkan RUU Pilkada (membangkang putusan MK)
62,63,Sebenarnya kotak kosong bukan representatif dari demokrasi rakyat tapi sesuai dgn putusan MK yg menurunkan ambang batas pencalonan oleh parpol.
63,64,WTB buku ekonomi mikro dan makro karya mankiw. pls plssss tolonglah aku iniiii 
64,65,"gak tau diri nih 
@PKSejahtera
 , udah gak mau nyalonin Anies padahal udah ada putusan MK, bikin hoax soal tenggat waktu 40 hari, ikut revisi UU pilkada, dan gabung KIM, padahal kalaupun gak nyalonin Anies, masih bisa nyalonin sendiri di luar KIM."
65,66,Presiden dan KPU 100 persen ikut putusan MK!!
66,67,Presiden Jokowi akan mengikuti semua putusan MK.
67,68,"putusan MK 90. Cacat. 
Maka  Non executable."
68,69,winlok apaan?
69,70,"ini udah gua terapkan beberapa kali... diminta atasan untuk ketemu calon klien, dan 'ajak' mereka ngopi.. tp ga pernah gua laksanain... akhirnya bos tau, gua kena sp... 

""ga menghargai waktu si calon klien tadi""
ya gua amuk balik, masih jadi calon klien, belum fix PO dari mereka"
70,71,tritnya mana...
71,72,"teman ku kemaren, lulusan hukum dapat gawean di singapura jadi penasehat hukum perusahaan"
72,73,Putusan MK terkait RUU Pilkada sah dan disetujui oleh Pemerintah.
73,74,Presiden Jokowi dan KPU 100 persen dukung putusan MK
74,75,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK

#MenjagaPutusanMK"
75,76,"DPR Tolak Seluruh Calon Hakim Agung, KY Minta Pertimbangkan hingga Singgung Putusan MK"
76,77,Jelas jelas semua dinasti terselamatkan oleh putusan MK yang menolak uji materi terkait politik dinasti
77,78,"Makanya dipakai terminologi inkonstitusional ""bersyarat"".
Kritik atas pertemuan jkw dgn ricard adkerson (Freeport McMoran) terkait keputusan perpanjangan izin termasuk dlm kategori tersebut. Perpanjangan izin dianggap bertentangan dengan putusan MK 64/PUU-XVIII/2020 Pasal 169A."
78,79,rakyat mau bergerak itu karena apa bang? kl minggu2 lalu kan krn DPR mau merubah putusan MK
79,80,"Dosen2 univ di jogja banyak jejak digitalnya buat ngomentarin kim+, gagalnya anies maju, kotak kosong di dki sebelum mk tp sedikit jejaknya mbahas bupati petahana sleman yg hampir gagal maju sblm putusan mk, pecah kongsinya petahana bantul dan isu politik lokal lain."
80,81,Ayooo demo kawal putusan MK....
81,82,"Rakyat itu yg Real,nyata ....itu yg demo Kawal Putusan MK kemaren cth rakyat..nyata ada wujudnya"
82,83,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK
#MenjagaPutusanMK"
83,84,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK
#MenjagaPutusanMK"
84,85, kok km yg marah-marah? Km keluarga yg diuntungkan putusan MK atau buzzer nya  ??
85,86,"Temen gue ada udah miskin, ngatain temen gue yang turun demo dan ikut kawal putusan MK kemaren pengangguran. Bego. Emang gak semua orang kuliah punya otak sih."
86,87,"Putusan MK 90 tentang syarat capres-cawapres MK sudah di garis kuning krn hanya menambah frasa. 
Putusan MK 60 tentang syarat pilkada MK sudah di LUAR GARIS KEWENANGANnya.
Jadi siapa yg MENGUTAK-ATIK KONSTITUSI? 
Jawabnya HAKIM-HAKIM MAHKAMAH KONSTITUSI bukan PRESIDEN. 
PAHAM!"
87,88,Putusan MK Telat Penyebab Pilkada Kotak Kosong Masih Marak
88,89,"Jadi bisa Kita simpulkan demi mendapatkan dan menduduki Kursi Jabatan maka PERKARA ETIK bukanlah hal Penting. Kekuasaanlah yg Utama, tentang Etik taro saja di Bak Sampah. Segitu rendahnya Sikap PoliTIKUS Negeri ini.

Selain Putusan MK ini yg No_Etik, ini tentang #Nepotime dan..."
89,90,"Putusan MK yang dinilai melanggar #Etik dibuktikan dengan Putusan MKMK yang memutuskan Hakim Ketua yg tak lain adalah Paman Gibran melanggar #Etik dan diPutuskan dipecat jadi Hakim Ketua.
Namun Pelanggaran #Etik ini diabaikan oleh semua Penikmat Putusan MK No. 90 th 2023 itu."
90,91,"Putusan MK No. 90 th 2023 ini adalah Aksi Nyata Praktek #Kolusi dan #Nepotisme di Republik ini. Tapi dengan kepolosan (Dungu aja sih) Masyarakat kebanyakan bahwa Praktek itu dinilai sah-sah aja.  IQ Jongkok.
Penikmat Putusan itu yg paling berkepentingan adalah Capresnya."
91,92,"DPR RI ikuti putusan MK so gak perlu risau apalagi heboh lg soal putusan MK n jgn mau lg di adu domba Ama ""oknum"" yg manfaatin isu itu #putusanmk #tolakruupilkada2024 #kawalkeputusanmk #indonesia #staycalm"
92,93,Berantakan gara-gara putusan MK 
93,94,Gara-gara putusan MK 
94,95,OH berarti diakui yah kalo DPR itu mengubah Putusan MK supaya Gibran bisa jadi cagub?
95,96,Lu selama ini tinggal di goa atau gimana? Itu putusan MK pas si gibran calonin jadi wapes aja udh jadi salah satu bukti 
96,97,apakah gua akan instal game laknat ini lagi...!!
97,98,Ini si dpr yg mau revisi putusan mk pilkada itu ya..
98,99,"Seperti yang dulu gua bilang, kondisi Jokowi menang di 2024 tapi tanpa partai itu bukan itungan yang ideal.

Karena dia harus akrobat manuver lebih banyak lagi. Wajar kalau akan ada momen Jokowi luput, kayak Putusan MK kemarin itulah"
99,100,Yg ngomong mancing mahasiswa marah di Parlemen melawan putusan. MK terkait pilkada.
100,101,"Kalo gak ada usulan para elit politik
Gak ada sidang MK 
Gak ada putusan mk
Gak ada demo
Gak ada polisi hadang demo
Gak ada kerusuhan 
Dan sudah pasti gak ada korban

Dari urutan diatas kita harusnya paham awal dan akhir .mana sumber mana dampak"
101,102,"Kek nya memang harus ad revisi uu nya dah, DPR dari pada menganulir putusan MK, mending revisi uu sistem peradilan anak"
102,103,"Kenapa baru di suarakan sekarang?..udah terjadi baru bersuara,bukannya dari sebelum ada putusan MK"
103,104,"ya dirugikan laah... seharusnya bisa jaadi baancakan penjabat itu,..."
104,105,"DPR Tolak Seluruh Calon Hakim Agung, KY Minta Pertimbangkan hingga Singgung Putusan MK http://dlvr.it/TCykLS"
105,106,"Pilkada ga cuma Jakarta. Kandidat populer kayak Airin, Bu Risma dan buanyak calon lain akhirnya bisa maju berkat putusan MK kemaren."
106,107,"Masalahnya sebenernya kayanya dia jalan2 pas DPR lagi rusuh2nya, dia yg sedang dipermasalahkan karena DPR mo ubah putusan MK malah dia senang2, emang rakyat gak panas? #mikir"
107,108,Bukan nya demokrat kemaren ikut mau merubah UU Pilkada? dengan menganulir Putusan MK dan menerima putusan MA. setelah ada demo baru kalangkabut berkamuplase. pura2 demokratis. faham deh faham. semuanya karena tulang. malu lah sikit  jg harga diri. salam HAMBALANG.
108,109,"Bakal ramai ini, nanti !!

Kita tunggu saja seperti apa jalannya nanti, bila betul-betul mereka yang coba dilantik. 

Masih banyak hal terjadi utk menuju 20 Oktober 2024 ini.

Putusan MK No. 90 itu *CACAT HUKUM* 'Non executable', tidak bisa dilaksanakan, tidak bisa dilantik."
109,110,Mknya semakin bnyak pilihan makin pusing oligarki makanya pilkada macem sebelum putusan mk oligarki demen banget hahaha
110,111,"Idiologi PKS adalah keadilan n kesejahteraan...posisi PKS pasca putusan MK sudah hilang marwah idiologinya, lebih memntingkan pragmatisme sesaat sesaat yaitu kekuasaan. Kekuasaan penting ttp harus didpt dgn keadilan bukan dgn memanfaatkan kekuasaan utk kedzoliman..."
111,112,"Ini sih jelas, penumpangnya siapa saja, dan tujuannya apa.

Lah si pangeran bungsu, langsung pergi liburan sewaktu demo putusan MK, dan sumber dananya tidak jelas dari ...??"
112,113,"https://bbc.com/indonesia/articles/cmj2n2kxkgdo#:~:text=Pabrik%20tekstil%20yang%20melakukan%20PHK,Djaja%2C%20Semarang%2C%20sekitar%202.000%20karyawan…

Ya tentu oposisi, gak berhasil untuk mensejahterakan kelas menengah tapi anaknya maju ikut pemilu apalagi terkesan dipaksakan melalui putusan MK no 90 yg kontroversial"
113,114,"lebih sering pakai yg kenak silang merah... apa karena itu ya, ga dilirik sama sekali sama HR cv ku ya?? otewe kulik2 lagi lah..."
114,115,"Alasan PKS Membeberkan Partainya Tak Kembali Usung Anies Usai Putusan MK https://keuangannews.id/alasan-pks-membeberkan-partainya-tak-kembali-usung-anies-usai-putusan-mk/… lewat 
@Keuangan
 News"
115,116,Putusan MK sama Buzzer 02
116,117,"Bwahahaaaaa
Macam Putusan MK
Bukan soal terbitnya

Namun Efek nya
kwkwkww"
117,118," 5 soal PKN
 resume putusan MK nomor 20/PUU-XII/2014"
118,119,"Yang lebih aneh keputusan kpu 1229 tahun 2024 ttg  pendaftaran cakada, seolah mengeliminasi putusan mk krn harus meminta persetujuan dari politik dan koalisi. 
Hal ini di alami Masinton waktu mendaftar calon bupati yg tdk ditrima kpu krn seblum nya pdip sdh beri rekom pd yg lain"
119,120,Demokratis atau ndak tergantung di posisi mana...klo posisi kalah ya teriaknya ini tidak demokratis...mirip putusan MK kemarenlah...sekarang kan sudah ga terdengar lg mahkamah kluarga..krn yg sering omong gitu sudah terpenuhi harapannya
120,121,"banyak tanya2
""ini apa? ""
""ko bisa begini? ""
. 
. 
. 
. 
kembangin aja sendiri, pakai ragi instan biar cepat ngembang.."
121,122,"jurnal dulu... baru setelah itu ""penyesuaian"""
122,123,joki rangkuman tentang konsekuensi yuridis putusan mk nomor 20 tahun 2014 cari yg spesialis hukum #zonaba #zonauang
123,124,"""Meneruskan"" Nepotisme, mengacak-acak konstitusi dg munculnya putusan MK no 90/2023 yg digawangi adik iparnya dg munculnya MKMK yg mevonis pelanggaran etik berat dan non palukan di MK dan dan dicopot dari ketua MK, dan itu akan diedukasi oleh murid dan anaknya.
Cawe-cawe n bansos"
124,125,"Setuju wktnya jgn terlalu lama,misal 3 -4 bln termasuk masa kampanye pesertanya dikocok ulang tdk hrs paslon spt saat ini bisa saja calon independen bertambah atau dg putusan MK No.60 bisa saja partai² menyiapkan jago² barunya
Ada peluang 
@aniesbaswedan
 imut kontestasi diDKI"
125,126,"Loncat kau bilang? Jangan mengaburkan masalah. Anies - Shohibul itu cuman 18 kursi, gak sampe 20%. Putusan MK setelah deklarasi RK - Soeswono. Gimana caranya PKS keluar dari KIM kalo kadernya jadi wakil?"
126,127,Putusan MK terkait RUU Pilkada sah dan disetujui oleh Pemerintah.
127,128,Presiden Jokowi pastikan pemerintah ikuti putusan MK soal pilkada
128,129,Mauu
129,130,Kawal putusan MK jilid 2 ???
130,131,Nah itu saya rasa bisa diambil jalan terobosan daripada menjadi polemik yg berkepanjangan akibat putusan MK yg mana dlm prosesnya ketua MK nya sendiri melanggar etik berat. Kira² begitu pendapat saya pribadi Lae 
131,132,"Putusan MK bersifat final dan mengikat.
#KawalPutusanMk"
132,133,"sudah bikin perjanjian dg KIM lalu muncullah putusan MK 

mas bro baca dong beritanya "
133,134,"Setelah tenggelam krn ada isu baru putusan MK, ternyata masalah mamam siang gratis ini blm selesai juga ya."
134,135,Putusan MK apa panja Baleg DPR sik?
135,136,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK

#MenjagaPutusanMK"
136,137,Putusan MK apa panja Baleg DPR sik?
137,138,"DPR - KPU setujui PKPU Pilkada semua merujuk putusan MK

#MenjagaPutusanMK"
138,139,"Klu MPR mau, bisa. MPR bisa mendalilkan putusan MKMK sbg alasan menolak wapres terpilih. MPR tdk punya hak berhentikan pres/wapres setelah sah dilantik, sblm ada putusan MK. Tapi utk yg “terpilih”, MPR bisa saja menolak dg voting(suara terbanyak)."
139,140,"Kan demo kemaren bertujuan agar dpr mematuhi hasil putusan MK terkait aturan Pilkada, bukannya udah clear ya bosku?? Atau jangan² anda demonya bertujuan untuk memajukan abah pilkada?? "
140,141,"menarik nih, ilmu akhir pekan... 
*brb cari buku kieso yg udah ga tau dimana letaknya... "
141,142,dia yg twtnya ikut turun aksi putusan mk itu gk sie
142,143,"Join mulyono seminggu lgs satu barisan di DPR nolak putusan MK. Masih mending kmaren jadi oposisi. Setidaknya demi kehormatan. apakah nanti PKS berani berseberangan dgn koalisinya sendiri dlm soal kebijakan?

Mending skeptis dulu ketimbang nelen mentah2 janji politikus"
143,144,Putusan MK iya juga nggak?
144,145,"Rajin amat ya ngerwit apa yg dilakukan di DPR ,tapi soal UU pilkada kemarin PKS juga ikutan ingin menganulir putusan MK ?
Lupa ya?
Kebaikan 1000 x dilupakan dan lebih diingat 1 keburukan terakhir
Maka yg paling sulit itu Istiqomah"
145,146,Putusan MK gimana kabar?
146,147,"jan bawa2 putusan MK un, ga seru ah"
147,148,"Dan partai saya mendukung dinasti nepotisme titik gak pake koma

Bahkan partai saya juga mendukung bileg yg akan menganulir putusan MK 60"
148,149,Warga Jakarta menolak cagub boneka
149,150,Mari taat dengan putusan MK yang sudah final dan mengikat.
150,151,"Mana mungkin lagi, pks sdh bersama RK sebelum putusan MK keluar"
151,152,Presiden RI Jokowi tegaskan pemerintah akan patuhi putusan MK RI terkait UU Pilkada
152,153,"Jelang Pilkada Serentak 2024, semakin banyak permohonan pengujian UU Pilkada ke MK. Salah satunya yang diajukan Partai Buruh dan Partai Gelora. 

Putusan MK kali ini membuka peluang besar! Kini, dengan perubahan syarat persentase dan partai politik non-kursi DPRD juga bisa"
153,154,Presiden RI Jokowi tegaskan pemerintah akan patuhi putusan MK RI terkait UU Pilkada
154,155,"Jelang Pilkada Serentak 2024, semakin banyak permohonan pengujian UU Pilkada ke MK. Salah satunya yang diajukan Partai Buruh dan Partai Gelora. 

Putusan MK kali ini membuka peluang besar! Kini, dengan perubahan syarat persentase dan partai politik non-kursi DPRD juga bisa"
155,156,"Yg bagus malah mereka recoki.

Sama seperti kemarin saat mereka mau menganulir putusan MK. 

Artinya DPR khilafnya sesuai arahan. Mungkin rakyat & mahasiswa perlu silaturahmi lagi dgn mereka"
156,157,Prinsip Erga Omnes yang berlalu terhadap putusan MK ternyata dampaknya luar biasa. Tapi seringkali publik hanya berfokus pada sidang-sidang DPR.
157,158,Jokowi Tegaskan akan patuhi putusan MK RI terkait UU Pilkada!!
158,159,"Riil, Pasal 251 UU Pemda udah dibatalin sama Putusan MK 137 tahun 2015. 

Tapi bang, kalau menurut mu, Pasal 251 yg baru pasca UU CK gimana? Soale Pemda mesti koordinasi dengan Pusat ketika menyusun Perda. Kira² ada potensi mengurangi asas otonomi gak? Atau pure tuk harmon jh?"
159,160,Pemerintah ikuti putusan MK
160,161,"Wkwkwk ya siapapun bakal males investasi ke negara korup.
Drpd nyari investor, harusnya ngaca gimana wajah pemerintahan hari ini. Kemarin demo kawal putusan MK aja sampe diliput media luar, ya LN tau lah bobroknya disini gimana."
161,162,"Inget ya, kemaren putusan MK bakal jalan mulus kalo DPR, istana, KPU ga digedorin saban hari sama massa

Be the change "
162,163,"cok dia cuma minta tolong nebeng. bangke lah ngeri banget. keknya mulai sekarang stop minta tolong deh ke siapapun ituu, takut banget jadi sambatan di komun  https://x.com/liluliludindul/liluliludindul/status/1832046535628181987…"
163,164,"jauhin aku dari orang modelan dinda goblok ini Ya Allah.. baca aja udah bikin kesel. heh mbak, km ngetik fuck girl support girl tuh TOLOL tau ga. km ga pernah ada di posisi butuh banget tabengan karena gaada motor??? TOLOL DAN EGOIS km tuhh!!!!!! https://x.com/liluliludindul/liluliludindul/status/1832046174754459752…"
164,165,"Plin Plan dan kelompok pendukung Pembangkang Putusan MK

Tenggelamkan"
165,166,Dadang Sutarmo Tanggapi Putusan MK: Siap Kawal hingga Pilkada Digelar https://gesuri.id/pemilu/dadang-sutarmo-tanggapi-putusan-mk-siap-kawal-hingga-pilkada-digelar-b2kBMZPRh?utm_source=dlvr.it&utm_medium=twitter… #pdiperjuangan
166,167,anj putusan mk 
167,168,"betul sekali, sejak ada putusan MK hal itu memungkinkan. mungkin mereka lapar jadinya ya begini deh"
168,169,"ngerawat landak dipenjara, ngelawan putusan mk masih melalang buana~~~"
169,170,Kenapa mesti putusan MK sih un??? 
170,171,kalo putusan MK gagal gimana un ?
171,172,"Bener juga, Gibran dan Kaesang juga pasti merasakan bahwa pada masa pemerintahan bapaknya ini tidaklah mudah. Demo dimana-mana, cibiran nitizen twitter, carut marut ijin tambang, putusan MK, DPR yg ga kompeten, belum lagi nilai tukar rupiah yg lemah, serta penghapusan pertalite."
172,173,Sudah waktu itu dg me- kawal putusan MK
173,174,PKS jngn minta2 pemilih basis pemilih anis lah. Kty krng 4 kursi tp pas ada putusan MK malah alesany dah teken kontrak dngn RK.. timeliney masuk kl memang ada niat usung anis ko.  Dah kebelet msk koalisi KIM + jatah mentri.
174,175,"Kalo nikah beda agama sama org katolik, anaknya mesti katolik...."
175,176,"@kaesangp
 kapan mau klarifikasi, pasti nunggu putusan MK dulu yah,"" kalo anak presiden pake fasilitas mewah milik pengusaha utk urusan pribadi tidak masuk gratifikasi"""
176,177,"gmn ga circle jir
satu bahas putusan mk, satu bahas anime(gw malah bahas mie ayam daerah nologaten enak banget bjirr)"
177,178,Dua hal yg bikin kami yakin PKS sejak awal sdh sepakat untuk menggadaikan  pencalonan Anies. 1. Elitnya sibuk berbohong soal deadline pencalonan. 2. Fraksinya setuju keputusan Baleg negabaikan putusan MK
178,179,Sa percaya zainuddin bin ngacciro si raja hutang gunakan APH utk ancam elite PKB PKS dan Partai Om Brutus hingga tinggalkan anies secara tiba2 pdhl sdh ada rekomendasi dan putusan MK yg permudah.
179,180,Cacat yg membuka aib itu terlihat ketika PKS setuju keputusan Baleg yg menganulir putusan MK.
180,181,Hah emg ada ttg putusan mk jg?
181,182,"Putusan MK nomor 60 kemarin sejatinya merupakan batu pijakan yang bagus untuk Pilkada yg lebih baik, namun angka 7,5% tetap masih berat bagi parpol di luar parlemen, ditambah keberadaan koalisi gemuk membuat kompetisi tidak berjalan seimbang karena banyak parpol yg gentar duluan."
182,183,"Udah diubah jadi Pergub Jabar No. 7 Tahun 2023.
Tapi hati² yang mau mutasi/pindah ke sini, Kemendagri BERHAK mengubah Perda Tk. Provinsi setelah adanya putusan MK.
.
Harap² cemas PNS Pemprov Jabar dengan Makan Siang Gratisnya Prabowo. Wkwkwkwk"
183,184,"Masih lah cinta bangetttt.
Tapi itu dulu sblm PKS mendukung Bobby, RK, Marcel dan ikut merevisi putusan MK tentang Pilkada juga ada d gerbong rezim dynasti/oligarki. Dimana dakwahnya klo ini partai dakwah yg dibesarkan oleh kami pemilihnya."
184,185,"Membatalkan Deklarasi AMAN bukannya bentuk ingkar janji & pengkhianatan? sudah dikasih jalan dgn adanya putusan MK malah tergoda dengan jatah menteri... akh sudahlah, sepertinya skrng PKS sukar membedakan mana haq mana bathil... "
185,186,"Urang sebel pisan demo terus terusan tapi belum dapet maksudnya. Ini bukan tentang pesawat jet, ini bukan hanya tentang menganulir putusan mk, ini bukan hanya putusan mk. Inituh tentang jangan seenaknya sendiri."
186,187,ke amerika serikat
