,Platform,Year,Genre,NA_Sales
292,SNES,1992,Platform,0.0
293,SNES,1992,Adventure,0.0
294,SNES,1992,Sports,0.0
295,SNES,1992,Shooter,0.0
296,GEN,1992,Shooter,0.0
297,GEN,1992,Adventure,0.0
298,NES,1992,Fighting,0.04
299,SNES,1992,Role-Playing,0.0
300,PC,1992,Strategy,0.0
301,SNES,1992,Fighting,0.0
302,GG,1992,Platform,0.0
303,PC,1992,Shooter,0.02
304,PC,1992,Strategy,0.01
305,SNES,1993,Platform,5.99
306,SNES,1993,Shooter,1.61
307,SNES,1993,Fighting,0.52
308,SNES,1993,Fighting,1.48
309,SNES,1993,Role-Playing,0.25
310,SNES,1993,Platform,0.94
311,NES,1993,Platform,0.79
312,SNES,1993,Puzzle,0.0
313,SCD,1993,Platform,1.0
314,SNES,1993,Fighting,0.0
315,SNES,1993,Fighting,0.0
316,SNES,1993,Role-Playing,0.0
317,SNES,1993,Platform,0.57
318,SNES,1993,Role-Playing,0.0
319,SNES,1993,Action,0.39
320,NES,1993,Puzzle,0.62
321,SNES,1993,Sports,0.0
322,SNES,1993,Role-Playing,0.0
323,SNES,1993,Fighting,0.0
324,SNES,1993,Sports,0.0
325,SNES,1993,Strategy,0.3
326,SNES,1993,Platform,0.09
327,SNES,1993,Sports,0.0
328,SNES,1993,Sports,0.0
329,NES,1993,Platform,0.28
330,SNES,1993,Puzzle,0.0
331,SNES,1993,Platform,0.0
332,SNES,1993,Fighting,0.0
333,SNES,1993,Fighting,0.0
334,NES,1993,Action,0.25
335,SNES,1993,Racing,0.0
336,SNES,1993,Role-Playing,0.0
337,SNES,1993,Platform,0.0
338,SNES,1993,Fighting,0.0
339,SNES,1993,Action,0.0
340,SNES,1993,Misc,0.0
341,GEN,1993,Strategy,0.0
342,SNES,1993,Simulation,0.0
343,SNES,1993,Sports,0.04
344,SNES,1993,Sports,0.0
345,GEN,1993,Fighting,0.0
346,NG,1993,Fighting,0.0
347,SNES,1993,Role-Playing,0.0
348,SNES,1993,Sports,0.0
349,SNES,1993,Sports,0.0
350,SNES,1993,Role-Playing,0.0
351,SNES,1993,Shooter,0.0
352,GEN,1993,Adventure,0.0
353,GEN,1993,Action,0.0
354,NG,1993,Fighting,0.0
355,SNES,1993,Action,0.0
356,GEN,1993,Action,0.0
357,SNES,1993,Misc,0.0
358,SNES,1993,Platform,0.0
359,SNES,1993,Role-Playing,0.0
360,GEN,1993,Platform,0.0
361,SNES,1993,Misc,0.0
362,SNES,1993,Sports,0.0
363,GEN,1993,Role-Playing,0.0
364,SNES,1993,Racing,0.0
365,SNES,1994,Platform,4.36
366,GB,1994,Platform,2.49
367,GB,1994,Platform,1.97
368,PC,1994,Shooter,2.05
369,SNES,1994,Role-Playing,0.86
370,GB,1994,Platform,1.57
371,PC,1994,Adventure,0.02
372,PC,1994,Misc,1.49
373,PC,1994,Strategy,0.89
374,PC,1994,Shooter,1.09
375,GEN,1994,Platform,1.24
376,SNES,1994,Platform,1.26
377,GEN,1994,Platform,1.02
378,SNES,1994,Fighting,1.19
379,SNES,1994,Action,0.57
380,GEN,1994,Platform,0.97
381,SNES,1994,Sports,1.19
382,GEN,1994,Fighting,1.03
383,PS,1994,Fighting,0.39
384,GEN,1994,Sports,0.95
385,SAT,1994,Fighting,0.17
386,SNES,1994,Simulation,0.0
387,SNES,1994,Sports,0.0
388,SNES,1994,Adventure,0.0
389,SNES,1994,Puzzle,0.0
390,SNES,1994,Role-Playing,0.0
391,PS,1994,Racing,0.0
392,PS,1994,Shooter,0.43
393,SNES,1994,Puzzle,0.0
394,SNES,1994,Role-Playing,0.0
395,SNES,1994,Sports,0.0
396,PS,1994,Simulation,0.24
397,SNES,1994,Fighting,0.0
398,SAT,1994,Racing,0.0
399,SNES,1994,Strategy,0.0
400,SNES,1994,Sports,0.0
401,SNES,1994,Shooter,0.0
402,PS,1994,Sports,0.25
403,SNES,1994,Simulation,0.0
404,SNES,1994,Sports,0.0
405,SNES,1994,Fighting,0.0
406,SNES,1994,Sports,0.0
407,PS,1994,Sports,0.11
408,PS,1994,Shooter,0.08
409,SNES,1994,Sports,0.0
410,SNES,1994,Strategy,0.0
411,SNES,1994,Role-Playing,0.0
412,SNES,1994,Sports,0.0
413,SNES,1994,Fighting,0.0
414,SNES,1994,Role-Playing,0.0
415,SNES,1994,Platform,0.0
416,SNES,1994,Sports,0.0
417,PS,1994,Shooter,0.0
418,SNES,1994,Role-Playing,0.0
419,SNES,1994,Fighting,0.0
420,SAT,1994,Sports,0.0
421,SNES,1994,Role-Playing,0.0
422,SNES,1994,Misc,0.0
423,SNES,1994,Sports,0.0
424,SAT,1994,Simulation,0.0
425,SNES,1994,Sports,0.0
426,SNES,1994,Simulation,0.0
427,GEN,1994,Racing,0.0
428,SAT,1994,Shooter,0.0
429,PS,1994,Strategy,0.0
430,NG,1994,Fighting,0.0
431,NG,1994,Fighting,0.0
432,SNES,1994,Racing,0.0
433,NG,1994,Fighting,0.0
434,SAT,1994,Shooter,0.0
435,PS,1994,Simulation,0.1
436,SNES,1994,Strategy,0.0
437,SNES,1994,Shooter,0.0
438,SAT,1994,Racing,0.0
439,SNES,1994,Fighting,0.0
440,GEN,1994,Role-Playing,0.0
441,SCD,1994,Strategy,0.0
442,NG,1994,Fighting,0.0
443,SNES,1994,Role-Playing,0.0
444,SAT,1994,Fighting,0.0
445,SNES,1994,Fighting,0.0
446,SAT,1994,Fighting,0.0
447,PS,1994,Fighting,0.06
448,PS,1994,Sports,0.0
449,NES,1994,Role-Playing,0.0
450,PS,1994,Shooter,0.06
451,PS,1994,Role-Playing,0.0
452,SAT,1994,Platform,0.0
453,SAT,1994,Simulation,0.0
454,PS,1994,Role-Playing,0.0
455,GEN,1994,Fighting,0.0
456,GEN,1994,Role-Playing,0.0
457,SNES,1994,Role-Playing,0.0
458,SAT,1994,Racing,0.0
459,SCD,1994,Racing,0.0
460,SNES,1994,Sports,0.0
461,SNES,1994,Action,0.0
462,PS,1994,Racing,0.0
463,PS,1994,Adventure,0.04
464,SAT,1994,Shooter,0.0
465,SAT,1994,Sports,0.0
466,SCD,1994,Role-Playing,0.0
467,SAT,1994,Adventure,0.0
468,SCD,1994,Misc,0.0
469,SNES,1994,Misc,0.0
470,SAT,1994,Fighting,0.0
471,SCD,1994,Misc,0.0
472,SAT,1994,Sports,0.0
473,SAT,1994,Fighting,0.0
474,GEN,1994,Sports,0.0
475,GEN,1994,Platform,0.0
476,SNES,1994,Role-Playing,0.0
477,SNES,1994,Role-Playing,0.0
478,GEN,1994,Misc,0.0
479,SNES,1994,Action,0.0
480,SNES,1994,Action,0.0
481,3DO,1994,Puzzle,0.0
482,SNES,1994,Fighting,0.0
483,SAT,1994,Sports,0.0
484,SNES,1994,Sports,0.0
485,PC,1994,Fighting,0.01
486,SNES,1995,Platform,2.1
487,PC,1995,Strategy,1.7
488,SNES,1995,Platform,1.65
489,PS,1995,Misc,2.12
490,PS,1995,Fighting,0.95
491,SNES,1995,Fighting,2.26
492,SNES,1995,Role-Playing,0.0
493,PS,1995,Platform,1.54
494,GB,1995,Platform,0.69
495,SNES,1995,Role-Playing,0.28
496,SAT,1995,Fighting,0.34
497,PS,1995,Simulation,0.92
498,PS,1995,Action,1.32
499,SNES,1995,Role-Playing,0.0
500,PS,1995,Racing,0.71
501,SAT,1995,Racing,0.21
502,SNES,1995,Sports,0.0
503,PS,1995,Role-Playing,0.0
504,PS,1995,Racing,0.17
505,SNES,1995,Sports,0.87
506,PS,1995,Racing,0.56
507,PS,1995,Racing,0.5
508,SNES,1995,Role-Playing,0.0
509,PS,1995,Platform,0.49
510,PS,1995,Sports,0.47
511,PS,1995,Fighting,0.17
512,SNES,1995,Role-Playing,0.0
513,PS,1995,Fighting,0.15
514,SAT,1995,Shooter,0.0
515,GB,1995,Puzzle,0.0
516,PS,1995,Role-Playing,0.21
517,SNES,1995,Strategy,0.0
518,PS,1995,Simulation,0.0
519,PS,1995,Role-Playing,0.11
520,PS,1995,Fighting,0.29
521,PS,1995,Sports,0.28
522,SNES,1995,Simulation,0.0
523,SNES,1995,Puzzle,0.0
524,PS,1995,Action,0.26
525,SNES,1995,Misc,0.0
526,PS,1995,Simulation,0.25
527,SNES,1995,Sports,0.0
528,PS,1995,Role-Playing,0.0
529,PS,1995,Action,0.0
530,SNES,1995,Sports,0.0
531,SAT,1995,Fighting,0.0
532,SAT,1995,Action,0.0
533,SNES,1995,Puzzle,0.0
534,SAT,1995,Fighting,0.0
535,SNES,1995,Role-Playing,0.0
536,SNES,1995,Role-Playing,0.0
537,SAT,1995,Role-Playing,0.0
538,SNES,1995,Strategy,0.0
539,SAT,1995,Shooter,0.0
540,PS,1995,Fighting,0.0
541,SNES,1995,Action,0.04
542,SAT,1995,Shooter,0.0
543,SAT,1995,Fighting,0.0
544,PS,1995,Fighting,0.0
545,GB,1995,Puzzle,0.0
546,PS,1995,Misc,0.18
547,SAT,1995,Fighting,0.0
548,PS,1995,Sports,0.17
549,SNES,1995,Platform,0.0
550,SAT,1995,Shooter,0.0
551,GB,1995,Misc,0.0
552,PS,1995,Platform,0.05
553,SAT,1995,Role-Playing,0.0
554,SNES,1995,Sports,0.0
555,SNES,1995,Role-Playing,0.0
556,SAT,1995,Role-Playing,0.0
557,SNES,1995,Fighting,0.0
558,SAT,1995,Fighting,0.0
559,SNES,1995,Platform,0.03
560,PS,1995,Sports,0.16
561,SNES,1995,Misc,0.0
562,SNES,1995,Sports,0.0
563,PS,1995,Shooter,0.15
564,SNES,1995,Puzzle,0.0
565,PS,1995,Sports,0.14
566,PS,1995,Strategy,0.14
567,PS,1995,Sports,0.0
568,PS,1995,Sports,0.13
569,SAT,1995,Fighting,0.0
570,PS,1995,Shooter,0.06
571,SAT,1995,Sports,0.0
572,SNES,1995,Fighting,0.0
573,SAT,1995,Fighting,0.0
574,NG,1995,Fighting,0.0
575,SNES,1995,Strategy,0.0
576,PS,1995,Puzzle,0.11
577,SAT,1995,Simulation,0.0
578,PS,1995,Sports,0.1
579,SAT,1995,Misc,0.0
580,PS,1995,Fighting,0.1
581,PS,1995,Role-Playing,0.02
582,PS,1995,Racing,0.09
583,SAT,1995,Shooter,0.0
584,PS,1995,Role-Playing,0.09
585,SNES,1995,Sports,0.0
586,PS,1995,Sports,0.09
587,PS,1995,Shooter,0.0
588,SAT,1995,Sports,0.0
589,SNES,1995,Puzzle,0.0
590,SAT,1995,Fighting,0.0
591,PS,1995,Role-Playing,0.0
592,PS,1995,Shooter,0.02
593,PS,1995,Simulation,0.08
594,TG16,1995,Adventure,0.0
595,PS,1995,Action,0.0
596,PS,1995,Shooter,0.03
597,SAT,1995,Racing,0.0
598,PS,1995,Strategy,0.0
599,PS,1995,Strategy,0.05
600,PS,1995,Shooter,0.07
601,PS,1995,Sports,0.0
602,SNES,1995,Role-Playing,0.0
603,PS,1995,Sports,0.07
604,SAT,1995,Shooter,0.0
605,SAT,1995,Racing,0.0
606,SAT,1995,Misc,0.0
607,PS,1995,Strategy,0.0
608,SAT,1995,Strategy,0.0
609,SAT,1995,Misc,0.0
610,PS,1995,Misc,0.0
611,PS,1995,Sports,0.0
612,PS,1995,Strategy,0.01
613,SAT,1995,Role-Playing,0.0
614,PS,1995,Shooter,0.03
615,SNES,1995,Role-Playing,0.0
616,PS,1995,Adventure,0.0
617,SNES,1995,Role-Playing,0.0
618,PS,1995,Shooter,0.06
619,PS,1995,Fighting,0.0
620,PS,1995,Action,0.06
621,SAT,1995,Shooter,0.0
622,SAT,1995,Misc,0.0
623,SNES,1995,Racing,0.0
624,SNES,1995,Sports,0.0
625,SNES,1995,Role-Playing,0.0
626,PS,1995,Strategy,0.05
627,SAT,1995,Misc,0.0
628,PS,1995,Simulation,0.05
629,PS,1995,Shooter,0.0
630,SNES,1995,Platform,0.03
631,SAT,1995,Fighting,0.0
632,PS,1995,Shooter,0.0
633,PS,1995,Action,0.05
634,SAT,1995,Simulation,0.0
635,SAT,1995,Misc,0.0
636,PS,1995,Fighting,0.05
637,PS,1995,Sports,0.04
638,NG,1995,Fighting,0.0
639,PS,1995,Shooter,0.04
640,PS,1995,Simulation,0.02
641,PS,1995,Sports,0.04
642,SAT,1995,Strategy,0.0
643,PS,1995,Simulation,0.04
644,SAT,1995,Strategy,0.0
645,PS,1995,Adventure,0.0
646,PS,1995,Sports,0.0
647,SAT,1995,Racing,0.0
648,PS,1995,Shooter,0.04
649,PS,1995,Shooter,0.04
650,SAT,1995,Misc,0.0
651,PS,1995,Shooter,0.04
652,PS,1995,Puzzle,0.04
653,PS,1995,Shooter,0.04
654,SNES,1995,Simulation,0.0
655,SAT,1995,Adventure,0.0
656,PS,1995,Puzzle,0.03
657,SAT,1995,Adventure,0.0
658,3DO,1995,Adventure,0.0
659,PS,1995,Fighting,0.03
660,SNES,1995,Platform,0.0
661,SAT,1995,Shooter,0.0
662,PS,1995,Fighting,0.03
663,SNES,1995,Adventure,0.0
664,PS,1995,Racing,0.03
665,PS,1995,Shooter,0.03
666,SAT,1995,Misc,0.0
667,SNES,1995,Sports,0.0
668,SAT,1995,Puzzle,0.0
669,SNES,1995,Shooter,0.0
670,SNES,1995,Misc,0.0
671,PS,1995,Platform,0.03
672,SAT,1995,Adventure,0.0
673,SNES,1995,Puzzle,0.0
674,PS,1995,Puzzle,0.03
675,PS,1995,Shooter,0.03
676,PS,1995,Simulation,0.0
677,SAT,1995,Misc,0.0
678,SNES,1995,Platform,0.0
679,PS,1995,Shooter,0.02
680,SNES,1995,Role-Playing,0.0
681,SNES,1995,Racing,0.0
682,PS,1995,Simulation,0.0
683,SAT,1995,Misc,0.0
684,PS,1995,Misc,0.0
685,PS,1995,Adventure,0.0
686,SAT,1995,Adventure,0.0
687,NG,1995,Fighting,0.0
688,SNES,1995,Misc,0.0
689,SNES,1995,Strategy,0.0
690,PS,1995,Fighting,0.02
691,SNES,1995,Misc,0.0
692,SAT,1995,Fighting,0.0
693,SAT,1995,Shooter,0.0
694,PS,1995,Sports,0.0
695,PS,1995,Platform,0.0
696,SNES,1995,Sports,0.0
697,PS,1995,Adventure,0.0
698,SAT,1995,Misc,0.0
699,PS,1995,Adventure,0.01
700,3DO,1995,Simulation,0.0
701,TG16,1995,Shooter,0.0
702,NG,1995,Sports,0.0
703,PC,1995,Misc,0.01
704,PS,1995,Adventure,0.01
705,GB,1996,Role-Playing,11.27
706,N64,1996,Platform,6.91
707,N64,1996,Racing,5.55
708,PS,1996,Platform,3.23
709,PS,1996,Fighting,2.26
710,PC,1996,Simulation,3.22
711,PS,1996,Action,2.05
712,PS,1996,Action,2.29
713,PS,1996,Misc,2.28
714,PS,1996,Action,1.82
715,SNES,1996,Platform,1.17
716,N64,1996,Racing,1.98
717,PC,1996,Strategy,1.37
718,PS,1996,Fighting,1.98
719,N64,1996,Action,2.0
720,PS,1996,Racing,2.12
721,PS,1996,Puzzle,2.1
722,GB,1996,Platform,1.39
723,SNES,1996,Role-Playing,0.66
724,PS,1996,Misc,0.26
725,PS,1996,Racing,1.33
726,N64,1996,Racing,1.69
727,PC,1996,Role-Playing,0.01
728,PS,1996,Fighting,0.61
729,PS,1996,Shooter,0.85
730,PS,1996,Racing,1.43
731,GB,1996,Simulation,0.0
732,SNES,1996,Platform,0.26
733,PS,1996,Sports,1.15
734,SNES,1996,Role-Playing,0.0
735,PS,1996,Sports,0.73
736,PS,1996,Racing,0.73
737,PS,1996,Sports,0.99
738,PS,1996,Simulation,0.68
739,PS,1996,Simulation,0.65
740,PS,1996,Racing,0.16
741,PS,1996,Racing,0.65
742,N64,1996,Simulation,0.56
743,PS,1996,Role-Playing,0.0
744,SNES,1996,Sports,0.0
745,PS,1996,Action,0.45
746,PC,1996,Action,0.96
747,PS,1996,Sports,0.55
748,N64,1996,Fighting,0.72
749,PS,1996,Role-Playing,0.26
750,PS,1996,Misc,0.52
751,PS,1996,Sports,0.51
752,PS,1996,Fighting,0.12
753,SNES,1996,Racing,0.0
754,PS,1996,Platform,0.44
755,PS,1996,Shooter,0.49
756,PS,1996,Sports,0.48
757,PS,1996,Fighting,0.14
758,PS,1996,Adventure,0.46
759,N64,1996,Fighting,0.61
760,PS,1996,Racing,0.43
761,PS,1996,Racing,0.18
762,PS,1996,Shooter,0.4
763,PS,1996,Shooter,0.37
764,PS,1996,Fighting,0.35
765,SAT,1996,Fighting,0.0
766,SNES,1996,Role-Playing,0.0
767,SNES,1996,Strategy,0.0
768,PS,1996,Role-Playing,0.0
769,SAT,1996,Adventure,0.0
770,PS,1996,Shooter,0.31
771,PS,1996,Misc,0.3
772,PS,1996,Adventure,0.07
773,PS,1996,Misc,0.3
774,N64,1996,Sports,0.49
775,PS,1996,Sports,0.08
776,PS,1996,Strategy,0.0
777,SNES,1996,Sports,0.0
778,PS,1996,Role-Playing,0.0
779,PS,1996,Shooter,0.24
780,PS,1996,Sports,0.26
781,PS,1996,Sports,0.26
782,SNES,1996,Sports,0.0
783,PS,1996,Role-Playing,0.14
784,PS,1996,Sports,0.0
785,PS,1996,Role-Playing,0.25
786,SNES,1996,Puzzle,0.0
787,SAT,1996,Adventure,0.0
788,SAT,1996,Platform,0.0
789,PS,1996,Sports,0.1
790,SAT,1996,Adventure,0.0
791,PS,1996,Racing,0.23
792,PS,1996,Misc,0.23
793,PS,1996,Strategy,0.22
794,PS,1996,Sports,0.21
795,PS,1996,Action,0.0
796,SAT,1996,Simulation,0.0
797,SAT,1996,Adventure,0.0
798,GB,1996,Puzzle,0.0
799,SAT,1996,Fighting,0.0
800,PS,1996,Action,0.19
801,PS,1996,Racing,0.06
802,PS,1996,Sports,0.16
803,PS,1996,Action,0.05
804,SNES,1996,Misc,0.0
805,PS,1996,Adventure,0.17
806,SNES,1996,Role-Playing,0.0
807,SAT,1996,Shooter,0.0
808,SAT,1996,Strategy,0.0
809,PS,1996,Fighting,0.07
810,SAT,1996,Sports,0.0
811,PS,1996,Misc,0.0
812,PS,1996,Sports,0.16
813,PS,1996,Misc,0.03
814,PS,1996,Sports,0.16
815,SAT,1996,Shooter,0.0
816,PS,1996,Fighting,0.0
817,PS,1996,Simulation,0.15
